,GDP_1,GDP_2,GDP_4,GDP_6,GDP_8,UNRATE_1,UNRATE_2,UNRATE_4,UNRATE_6,UNRATE_8,INFRATE_1,INFRATE_2,INFRATE_4,INFRATE_6,INFRATE_8,GS1_1,GS1_2,GS1_4,GS1_6,GS1_8,TSPREAD_1,TSPREAD_2,TSPREAD_4,TSPREAD_6,TSPREAD_8
3/1/1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.5,3.5,3.5,3.5,1.42,NA,NA,NA,NA
6/1/1959,0.022313398,NA,NA,NA,NA,-0.7333,NA,NA,NA,NA,0.001723051,NA,NA,NA,NA,3.92,3.92,3.92,3.92,3.92,1.1734,1.1734,NA,NA,NA
9/1/1959,0.000711755,0.011512576,NA,NA,NA,0.1667,-0.2833,NA,NA,NA,0.005151411,0.003437231,NA,NA,NA,4.6,4.6,4.6,4.6,4.6,0.9266,0.9266,NA,NA,NA
12/1/1959,0.002846333,0.001779044,NA,NA,NA,0.3333,0.25,NA,NA,NA,0.006034514,0.005592963,NA,NA,NA,4.92,4.92,4.92,4.92,4.92,0.5933,0.5933,0.5933,NA,NA
3/1/1960,0.02222418,0.012535256,0.012023916,NA,NA,-0.4667,-0.0667,-0.175,NA,NA,0.000908678,0.003471596,0.003454414,NA,NA,4.57,4.57,4.57,4.57,4.57,0.5534,0.5534,0.5534,NA,NA
6/1/1960,-0.005408467,0.008407856,0.00509345,NA,NA,0.1,-0.18335,0.033325,NA,NA,0.005989504,0.003449091,0.004521027,NA,NA,3.87,3.87,3.87,3.87,3.87,0.5633,0.5633,0.5633,0.5633,NA
9/1/1960,0.004880816,-0.000263825,0.006135715,0.007928002,NA,0.3,0.2,0.06665,-0.05,NA,0.000564539,0.003277022,0.003374309,0.003395283,NA,3.07,3.07,3.07,3.07,3.07,0.8966,0.8966,0.8966,0.8966,NA
12/1/1960,-0.012917411,-0.004018297,0.002194779,0.002056201,NA,0.7334,0.5167,0.166675,0.19445,NA,0.006400561,0.00348255,0.003465821,0.004174868,NA,2.99,2.99,2.99,2.99,2.99,1.59,1.59,1.59,1.59,1.59
3/1/1961,0.006727609,-0.003094901,-0.001679363,0.003058843,0.005172277,0.5333,0.63335,0.416675,0.25555,0.1208375,0.002012748,0.004206654,0.003741838,0.003651757,0.003598126,2.87,2.87,2.87,2.87,2.87,1.7834,1.7834,1.7834,1.7834,1.7834
6/1/1961,0.016832324,0.011779967,0.003880835,0.005389842,0.004487142,0.2,0.36665,0.441675,0.233333333,0.2375,-0.000335177,0.000838786,0.002160668,0.002590142,0.003340847,2.94,2.94,2.94,2.94,2.94,2.0567,2.0567,2.0567,2.0567,2.0567
9/1/1961,0.019014468,0.017923396,0.007414248,0.00485489,0.006774981,-0.2333,-0.01665,0.30835,0.272233333,0.1875,0.003904536,0.00178468,0.002995667,0.003089452,0.003184988,3.01,3.01,3.01,3.01,3.01,2.2967,2.2967,2.2967,2.2967,2.2967
12/1/1961,0.019421273,0.01921787,0.015498919,0.00899318,0.008846849,-0.5667,-0.4,-0.016675,0.161116667,0.075,0.001444858,0.002674697,0.001756741,0.002332011,0.002611281,3.1,3.1,3.1,3.1,3.1,1.5733,1.5733,1.5733,1.5733,1.5733
3/1/1962,0.017678797,0.018550035,0.018236716,0.011126177,0.008278676,-0.5667,-0.5667,-0.291675,0.016666667,0.0625,0.003883746,0.002664302,0.002224491,0.002885212,0.002983164,3.21,3.21,3.21,3.21,3.21,1.56,1.56,1.56,1.56,1.56
6/1/1962,0.008996131,0.013337464,0.016277667,0.014778434,0.010079251,-0.1,-0.33335,-0.366675,-0.122233333,0.0375,0.003756218,0.003819982,0.00324734,0.002444488,0.002704004,3.02,3.02,3.02,3.02,3.02,1.2666,1.2666,1.2666,1.2666,1.2666
9/1/1962,0.012210229,0.01060318,0.014576607,0.015692204,0.010995427,0.0334,-0.0333,-0.3,-0.20555,0.004175,0.002864853,0.003310536,0.002987419,0.002586506,0.002991543,3.18,3.18,3.18,3.18,3.18,1.1433,1.1433,1.1433,1.1433,1.1433
12/1/1962,0.003283211,0.00774672,0.010542092,0.013434018,0.013020505,-0.0334,0,-0.166675,-0.24445,-0.091675,0.002415687,0.00264027,0.003230126,0.003044983,0.002493434,3,3,3,3,3,0.98,0.98,0.98,0.98,0.98
3/1/1963,0.010856905,0.007070058,0.008836619,0.012074424,0.013536667,0.2334,0.1,0.03335,-0.166666667,-0.1291625,0.00317796,0.002796824,0.00305368,0.002923887,0.002639085,3.03,3.03,3.03,3.03,3.03,0.9266,0.9266,0.9266,0.9266,0.9266
6/1/1963,0.011158748,0.011007826,0.009377273,0.010697337,0.01282747,-0.0334,0.1,0.05,-0.077783333,-0.1583375,0.001855434,0.002516697,0.002578484,0.002992316,0.002912912,3.14,3.14,3.14,3.14,3.14,1,1,1,1,1
9/1/1963,0.021746089,0.016452419,0.011761238,0.011375219,0.013168923,-0.2333,-0.13335,-0.016675,-0.022216667,-0.1583375,0.006096017,0.003975726,0.003386275,0.003361028,0.003186847,3.53,3.53,3.53,3.53,3.53,0.7033,0.7033,0.7033,0.7033,0.7033
