" ","K=20, 2SRR","K=20, shTVP-R","K=20, shTVP-3G","K=50, 2SRR","K=50, shTVP-R","K=50, shTVP-3G"
"k/k = 0.2",NA,NA,NA,NA,NA,NA
"Low","0.067","0.074","0.063","0.103","0.121","0.101"
"Medium","0.113","0.13","0.115","0.178","0.198","0.166"
"High","0.233","0.239","0.202","0.387","0.348","0.241"
"SV Low-Med","0.087","0.095","0.081","0.127","0.148","0.13"
"SV Low-High","0.128","0.14","0.121","0.216","0.207","0.169"
"k/k = 0.5",NA,NA,NA,NA,NA,NA
"Low","0.088","0.085","0.081","0.121","0.132","0.117"
"Medium","0.13","0.139","0.13","0.186","0.205","0.181"
"High","0.239","0.245","0.207","0.394","0.353","0.254"
"SV Low-Med","0.102","0.105","0.095","0.142","0.156","0.141"
"SV Low-High","0.137","0.141","0.13","0.22","0.215","0.183"
"k/k = 1",NA,NA,NA,NA,NA,NA
"Low","0.111","0.104","0.109","0.151","0.151","0.144"
"Medium","0.151","0.155","0.155","0.213","0.222","0.202"
"High","0.268","0.258","0.23","0.415","0.364","0.278"
"SV Low-Med","0.127","0.125","0.125","0.164","0.173","0.159"
"SV Low-High","0.162","0.156","0.151","0.229","0.227","0.2"
