"","K=6, 2SRR","K=6, ShTVP-R","K=6, ShTVP-3G","K=20, 2SRR","K=20, ShTVP-R","K=20, ShTVP-3G"
"68%, low",69.2,73.2,63.4,61.7,74.5,55.4
"med",79.3,73.6,58.9,74.6,76.9,58.8
"high",90.6,79,63.6,81,77.3,49.6
"SV Low-Med",69.8,72.4,63,66.6,73.3,55.6
"SV Low-High",79.3,75.7,65.1,73.2,74.9,53.6
"95%, low",94.7,97.2,89.7,90.2,97.6,88.4
"med",98,97.8,89.2,95.7,98.5,90.5
"high",99.7,98.5,93.1,98,98.6,89.2
"SV Low-Med",94.3,96.4,91.2,92.4,97.7,87.2
"SV Low-High",97.5,96.9,90.4,95.6,97.9,88.7
"Cor IQR%, low",0.65,0.285,0.214,0.63,0.141,0.104
"high",0.7,0.563,0.378,0.81,0.527,0.312
